latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,brightness
38.69383,-90.13812,302.65,0.5,0.66,2025-09-12,854,N,VIIRS,60,2.0NRT,290.08,1.88,N,302.65
40.75634,-81.43213,302.03,0.39,0.44,2025-09-10,750,N,VIIRS,60,2.0NRT,281.8,0.41,N,302.03
52.72382,-110.93169,297.63,0.4,0.37,2025-09-10,928,N,VIIRS,60,2.0NRT,273.22,0.91,N,297.63
30.13795,-84.19775,333.93,0.41,0.37,2025-09-11,1851,N,VIIRS,60,2.0NRT,294.02,5.61,D,333.93
34.71958,-98.65977,343.05,0.36,0.58,2025-09-11,1853,N,VIIRS,60,2.0NRT,301.15,9.17,D,343.05
56.55296,-115.31533,327.47,0.4,0.37,2025-09-13,1011,N,VIIRS,60,2.0NRT,276.59,2.27,N,327.47
41.22511,-83.21013,334.56,0.38,0.36,2025-09-11,731,N,VIIRS,60,2.0NRT,288.17,2.97,N,334.56
37.67331,-93.28472,350.27,0.57,0.52,2025-09-12,1836,N,VIIRS,60,2.0NRT,296.53,9.5,D,350.27
55.8979,-109.76545,310.03,0.39,0.6,2025-09-13,833,N,VIIRS,60,2.0NRT,286.93,2.25,N,310.03
30.00578,-91.02892,337.13,0.53,0.42,2025-09-11,1851,N,VIIRS,60,2.0NRT,303.77,10.26,D,337.13
62.98462,-117.15149,328.86,0.41,0.37,2025-09-13,1011,N,VIIRS,60,2.0NRT,284.91,2.41,N,328.86
52.40315,-124.40285,330.13,0.54,0.68,2025-09-06,2214,N,VIIRS,60,2.0NRT,288.9,13.04,D,330.13
31.74325,-97.19637,298.56,0.41,0.45,2025-09-10,754,N,VIIRS,60,2.0NRT,288.24,0.36,N,298.56
47.69857,-120.43361,301.41,0.53,0.42,2025-09-12,1034,N,VIIRS,60,2.0NRT,287.56,1.09,N,301.41
41.15145,-87.52902,346.18,0.4,0.44,2025-09-10,1915,N,VIIRS,60,2.0NRT,297.82,6.42,D,346.18
49.28016,-117.86998,304.39,0.54,0.51,2025-09-06,1045,N,VIIRS,60,2.0NRT,287.73,1.71,N,304.39
31.24442,-92.31661,335.93,0.39,0.36,2025-09-10,1913,N,VIIRS,60,2.0NRT,303.94,9.38,D,335.93
35.04533,-77.79649,327.98,0.39,0.36,2025-09-08,1809,N,VIIRS,60,2.0NRT,296.5,1.33,D,327.98
40.89475,-77.71369,314.27,0.52,0.67,2025-09-10,610,N,VIIRS,60,2.0NRT,282.07,1.12,N,314.27
59.38586,-120.31579,303.99,0.39,0.36,2025-09-07,1024,N,VIIRS,60,2.0NRT,282.86,2.22,N,303.99
56.43757,-114.80757,331.7,0.5,0.41,2025-09-11,2040,N,VIIRS,60,2.0NRT,296.36,2.83,D,331.7
47.92182,-118.35902,308.9,0.38,0.59,2025-09-06,907,N,VIIRS,60,2.0NRT,288.98,0.76,N,308.9
34.7144,-98.65806,367.0,0.36,0.58,2025-09-11,1853,N,VIIRS,80,2.0NRT,310.46,23.81,D,367.0
48.32067,-118.30315,302.87,0.32,0.55,2025-09-11,1051,N,VIIRS,60,2.0NRT,286.85,0.8,N,302.87
48.3452,-118.36979,341.46,0.39,0.44,2025-09-10,930,N,VIIRS,60,2.0NRT,289.19,4.18,N,341.46
31.75527,-83.85884,349.42,0.48,0.48,2025-09-10,1910,N,VIIRS,60,2.0NRT,302.96,17.49,D,349.42
52.88248,-124.85297,341.47,0.41,0.61,2025-09-10,930,N,VIIRS,60,2.0NRT,282.29,6.24,N,341.47
34.93246,-95.99551,347.11,0.46,0.64,2025-09-12,1834,N,VIIRS,60,2.0NRT,295.16,8.71,D,347.11
47.00881,-116.64052,320.7,0.49,0.4,2025-09-10,930,N,VIIRS,60,2.0NRT,290.16,1.28,N,320.7
52.04446,-124.68008,295.15,0.45,0.39,2025-09-11,1051,N,VIIRS,60,2.0NRT,281.48,0.48,N,295.15
45.22957,-123.16864,316.71,0.38,0.36,2025-09-13,1015,N,VIIRS,60,2.0NRT,286.1,3.58,N,316.71
52.68649,-124.51242,311.97,0.4,0.6,2025-09-10,930,N,VIIRS,60,2.0NRT,275.35,40.07,N,311.97
53.04318,-124.98199,339.68,0.38,0.36,2025-09-10,2057,N,VIIRS,60,2.0NRT,308.16,10.11,D,339.68
48.11654,-115.6769,305.21,0.36,0.58,2025-09-06,1045,N,VIIRS,60,2.0NRT,289.2,1.41,N,305.21
55.39745,-109.38337,306.46,0.57,0.69,2025-09-10,1108,N,VIIRS,60,2.0NRT,284.64,3.39,N,306.46
46.7432,-112.90986,336.89,0.4,0.37,2025-09-07,2012,N,VIIRS,60,2.0NRT,303.07,3.0,D,336.89
61.55363,-120.93317,347.55,0.39,0.37,2025-09-06,2036,N,VIIRS,60,2.0NRT,289.55,6.27,D,347.55
37.02336,-119.09505,352.42,0.46,0.39,2025-09-09,2114,N,VIIRS,60,2.0NRT,293.79,10.4,D,352.42
52.4109,-124.66264,355.39,0.46,0.39,2025-09-11,2040,N,VIIRS,60,2.0NRT,298.27,38.09,D,355.39
62.77412,-116.57824,325.66,0.38,0.36,2025-09-13,2004,N,VIIRS,60,2.0NRT,280.82,1.73,D,325.66
47.91387,-118.44512,317.47,0.38,0.59,2025-09-06,907,N,VIIRS,60,2.0NRT,290.2,1.68,N,317.47
55.52539,-109.33897,313.91,0.39,0.37,2025-09-10,928,N,VIIRS,60,2.0NRT,272.94,2.54,N,313.91
36.19342,-95.81202,296.66,0.79,0.78,2025-09-07,707,N,VIIRS,60,2.0NRT,285.29,1.3,N,296.66
52.14787,-120.70362,295.77,0.47,0.4,2025-09-14,954,N,VIIRS,60,2.0NRT,284.13,1.53,N,295.77
63.75623,-122.85457,306.22,0.46,0.39,2025-09-07,1021,N,VIIRS,60,2.0NRT,278.21,2.1,N,306.22
47.87413,-115.96592,331.44,0.59,0.7,2025-09-10,1919,N,VIIRS,60,2.0NRT,292.01,2.83,D,331.44
61.36658,-117.63159,302.55,0.4,0.37,2025-09-13,1011,N,VIIRS,60,2.0NRT,276.64,0.82,N,302.55
61.70477,-121.20482,295.09,0.47,0.48,2025-09-09,945,N,VIIRS,60,2.0NRT,284.66,0.92,N,295.09
41.67946,-87.42121,318.96,0.4,0.4,2025-09-15,757,N,VIIRS,60,2.0URT,295.09,1.56,N,318.96
48.34261,-118.40205,301.75,0.42,0.38,2025-09-13,1013,N,VIIRS,60,2.0NRT,286.83,1.44,N,301.75
48.32959,-118.32213,346.6,0.44,0.38,2025-09-10,2057,N,VIIRS,60,2.0NRT,299.02,16.59,D,346.6
49.67386,-121.0718,296.47,0.39,0.44,2025-09-06,1045,N,VIIRS,60,2.0NRT,281.18,1.96,N,296.47
52.764,-124.57463,328.39,0.5,0.41,2025-09-08,1009,N,VIIRS,60,2.0NRT,281.78,6.09,N,328.39
52.2253,-124.92349,326.57,0.32,0.55,2025-09-07,2155,N,VIIRS,60,2.0NRT,293.17,2.76,D,326.57
31.75924,-83.86456,340.18,0.48,0.48,2025-09-10,1910,N,VIIRS,60,2.0NRT,299.44,17.49,D,340.18
52.88438,-124.85173,367.0,0.38,0.36,2025-09-10,2057,N,VIIRS,80,2.0NRT,299.43,11.54,D,367.0
48.5135,-117.50376,348.27,0.39,0.36,2025-09-06,2032,N,VIIRS,60,2.0NRT,296.87,11.99,D,348.27
55.5122,-109.34476,307.54,0.39,0.37,2025-09-10,928,N,VIIRS,60,2.0NRT,268.92,1.26,N,307.54
48.33244,-118.33897,302.15,0.38,0.59,2025-09-06,905,N,VIIRS,60,2.0NRT,289.24,1.31,N,302.15
48.1716,-103.05285,311.13,0.41,0.45,2025-09-08,828,N,VIIRS,60,2.0NRT,280.32,1.07,N,311.13
